SalesOrderID,ProductID,UnitPrice,LineTotal
43659,776,2024.994,2024.994000
43659,777,2024.994,6074.982000
43659,778,2024.994,2024.994000
43659,771,2039.994,2039.994000
43659,772,2039.994,2039.994000
43659,773,2039.994,4079.988000
43659,774,2039.994,2039.994000
43659,714,28.8404,86.521200
43659,716,28.8404,28.840400
43659,709,5.7,34.200000
43659,712,5.1865,10.373000
43659,711,20.1865,80.746000
43660,762,419.4589,419.458900
43660,758,874.794,874.794000
43661,745,809.76,809.760000
43661,743,714.7043,714.704300
43661,747,714.7043,1429.408600
43661,712,5.1865,20.746000
43661,715,28.8404,115.361600
43661,742,722.5949,1445.189800
43661,775,2024.994,6074.982000
43661,778,2024.994,4049.988000
43661,711,20.1865,40.373000
43661,741,818.7,1637.400000
43661,776,2024.994,8099.976000
43661,773,2039.994,4079.988000
43661,716,28.8404,57.680800
43661,777,2024.994,4049.988000
43661,708,20.1865,100.932500
43662,764,419.4589,1258.376700
43662,770,419.4589,2097.294500
43662,730,183.9382,367.876400
43662,754,874.794,3499.176000
43662,725,183.9382,551.814600
43662,762,419.4589,2097.294500
43662,765,419.4589,1258.376700
43662,768,419.4589,838.917800
43662,753,2146.962,2146.962000
43662,756,874.794,874.794000
43662,763,419.4589,1258.376700
43662,732,356.898,356.898000
43662,758,874.794,5248.764000
43662,729,183.9382,183.938200
43662,722,178.5808,535.742400
43662,749,2146.962,2146.962000
43662,760,419.4589,1258.376700
43662,726,183.9382,183.938200
43662,733,356.898,356.898000
43662,738,178.5808,178.580800
43662,766,419.4589,1258.376700
43662,755,874.794,874.794000
43663,760,419.4589,419.458900
43664,772,2039.994,2039.994000
43664,775,2024.994,8099.976000
43664,714,28.8404,28.840400
43664,716,28.8404,28.840400
43664,777,2024.994,4049.988000
43664,771,2039.994,6119.982000
43664,773,2039.994,2039.994000
43664,778,2024.994,2024.994000
43665,711,20.1865,40.373000
43665,773,2039.994,2039.994000
43665,707,20.1865,20.186500
43665,715,28.8404,57.680800
43665,777,2024.994,4049.988000
43665,712,5.1865,10.373000
43665,775,2024.994,4049.988000
43665,778,2024.994,2024.994000
43665,709,5.7,34.200000
43665,776,2024.994,2024.994000
43666,764,419.4589,419.458900
43666,753,2146.962,2146.962000
43666,732,356.898,356.898000
43666,756,874.794,874.794000
43666,768,419.4589,838.917800
43666,766,419.4589,419.458900
43667,710,5.7,17.100000
43667,773,2039.994,2039.994000
43667,778,2024.994,2024.994000
43667,775,2024.994,2024.994000
43668,756,874.794,2624.382000
43668,753,2146.962,4293.924000
43668,760,419.4589,2936.212300
43668,765,419.4589,2516.753400
43668,715,28.8404,173.042400
43668,730,183.9382,1103.629200
43668,707,20.1865,40.373000
43668,711,20.1865,40.373000
43668,754,874.794,1749.588000
43668,712,5.1865,20.746000
43668,729,183.9382,367.876400
43668,755,874.794,2624.382000
43668,761,419.4589,1258.376700
43668,770,419.4589,838.917800
43668,726,183.9382,551.814600
43668,764,419.4589,838.917800
43668,766,419.4589,838.917800
43668,725,183.9382,367.876400
43668,716,28.8404,28.840400
43668,768,419.4589,838.917800
43668,732,356.898,1427.592000
43668,758,874.794,5248.764000
43668,762,419.4589,1677.835600
43668,738,178.5808,535.742400
43668,714,28.8404,115.361600
43668,722,178.5808,535.742400
43668,708,20.1865,20.186500
43668,733,356.898,1070.694000
43668,763,419.4589,1258.376700
43669,747,714.7043,714.704300
43670,710,5.7,5.700000
43670,709,5.7,11.400000
43670,773,2039.994,4079.988000
43670,776,2024.994,2024.994000
43671,753,2146.962,2146.962000
43671,714,28.8404,57.680800
43671,756,874.794,874.794000
43671,768,419.4589,838.917800
43671,732,356.898,713.796000
43671,763,419.4589,838.917800
43671,755,874.794,1749.588000
43671,764,419.4589,838.917800
43671,716,28.8404,28.840400
43671,711,20.1865,20.186500
43671,708,20.1865,20.186500
43672,709,5.7,34.200000
43672,776,2024.994,4049.988000
43672,774,2039.994,2039.994000
43673,754,874.794,874.794000
43673,715,28.8404,86.521200
43673,729,183.9382,183.938200
43673,761,419.4589,838.917800
43673,762,419.4589,419.458900
43673,738,178.5808,357.161600
43673,770,419.4589,838.917800
43673,712,5.1865,5.186500
43673,708,20.1865,40.373000
43673,711,20.1865,20.186500
43673,707,20.1865,80.746000
43674,758,874.794,2624.382000
43675,761,419.4589,1677.835600
43675,711,20.1865,100.932500
43675,738,178.5808,357.161600
43675,708,20.1865,20.186500
43675,762,419.4589,838.917800
43675,758,874.794,1749.588000
43675,712,5.1865,10.373000
43675,754,874.794,874.794000
43675,715,28.8404,86.521200
43676,776,2024.994,4049.988000
43676,778,2024.994,4049.988000
43676,710,5.7,5.700000
43676,775,2024.994,6074.982000
43676,709,5.7,22.800000
43677,715,28.8404,86.521200
43677,753,2146.962,2146.962000
43677,758,874.794,874.794000
43677,770,419.4589,419.458900
43677,708,20.1865,40.373000
43677,760,419.4589,1677.835600
43677,765,419.4589,838.917800
43677,763,419.4589,419.458900
43677,712,5.1865,25.932500
43677,707,20.1865,20.186500
43677,754,874.794,874.794000
43677,729,183.9382,367.876400
43678,760,419.4589,419.458900
43678,738,178.5808,357.161600
43678,765,419.4589,419.458900
43678,732,356.898,713.796000
43678,762,419.4589,1258.376700
43678,761,419.4589,838.917800
43678,712,5.1865,15.559500
43678,708,20.1865,80.746000
43678,729,183.9382,367.876400
43678,756,874.794,874.794000
43678,725,183.9382,367.876400
43678,716,28.8404,28.840400
43678,770,419.4589,419.458900
43678,758,874.794,1749.588000
43678,715,28.8404,57.680800
43678,754,874.794,874.794000
43678,755,874.794,874.794000
43678,711,20.1865,60.559500
43678,707,20.1865,20.186500
43679,760,419.4589,419.458900
43679,770,419.4589,838.917800
43679,715,28.8404,57.680800
43680,760,419.4589,1258.376700
43680,756,874.794,1749.588000
43680,738,178.5808,357.161600
43680,707,20.1865,80.746000
43680,729,183.9382,183.938200
43680,711,20.1865,20.186500
43680,715,28.8404,57.680800
43680,725,183.9382,367.876400
43680,758,874.794,874.794000
43680,761,419.4589,419.458900
43680,753,2146.962,4293.924000
43680,708,20.1865,40.373000
43680,765,419.4589,1258.376700
43680,712,5.1865,15.559500
43680,763,419.4589,419.458900
43681,715,28.8404,173.042400
43681,762,419.4589,2097.294500
43681,732,356.898,356.898000
43681,707,20.1865,20.186500
43681,729,183.9382,183.938200
43681,708,20.1865,40.373000
43681,770,419.4589,1258.376700
43681,730,183.9382,367.876400
43681,758,874.794,2624.382000
43681,768,419.4589,419.458900
43681,761,419.4589,838.917800
43681,738,178.5808,357.161600
43681,753,2146.962,2146.962000
43681,714,28.8404,57.680800
43681,764,419.4589,838.917800
43681,760,419.4589,838.917800
43681,756,874.794,874.794000
43681,716,28.8404,57.680800
43681,711,20.1865,40.373000
43681,725,183.9382,183.938200
43681,712,5.1865,10.373000
43682,758,874.794,1749.588000
43682,762,419.4589,419.458900
43682,760,419.4589,838.917800
43682,770,419.4589,838.917800
43682,715,28.8404,28.840400
43683,776,2024.994,4049.988000
43683,715,28.8404,57.680800
43683,773,2039.994,4079.988000
43683,774,2039.994,2039.994000
43683,708,20.1865,20.186500
43683,711,20.1865,40.373000
43683,712,5.1865,15.559500
