CountryRegionCode,StateProvinceCode,Package name,Execution start time,Machine name,User name,Task name
CA,AB ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
US,AK ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
US,AL ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
US,AR ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
AS,AS ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
US,AZ ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
CA,BC ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
DE,BY ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
US,CA ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
US,CO ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
US,CT ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
US,DC ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
US,DE ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
GB,ENG,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
US,FL ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
FM,FM ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
US,GA ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
US,GU ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
DE,HE ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
DE,HH ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
US,HI ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
US,IA ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
US,ID ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
US,IL ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
US,IN ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
US,KS ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
US,KY ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
US,LA ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
CA,LB ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
US,MA ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
CA,MB ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
US,MD ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
US,ME ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
MH,MH ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
US,MI ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
US,MN ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
US,MO ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
MP,MP ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
US,MS ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
US,MT ,Package2,24-02-2023 19:36:57,HMECL005931,HAPPIESTMINDS\Harshitha.shet,Data Flow Task
