43659,2,6074.982000,777,3
43659,6,4079.988000,773,2
43661,21,6074.982000,775,3
43661,22,4049.988000,778,2
43661,25,8099.976000,776,4
43661,26,4079.988000,773,2
43661,28,4049.988000,777,2
43662,33,3499.176000,754,4
43662,42,5248.764000,758,6
43664,54,8099.976000,775,4
43664,57,4049.988000,777,2
43664,58,6119.982000,771,3
43665,65,4049.988000,777,2
43665,67,4049.988000,775,2
43668,82,4293.924000,753,2
43668,102,5248.764000,758,6
43670,113,4079.988000,773,2
43672,127,4049.988000,776,2
43676,150,4049.988000,776,2
43676,151,4049.988000,778,2
43676,153,6074.982000,775,3
43680,199,4293.924000,753,2
43683,230,4049.988000,776,2
43683,232,4079.988000,773,2
43683,237,8099.976000,775,4
43683,238,12149.964000,777,6
43683,241,10124.970000,778,5
43688,268,4293.924000,753,2
43689,287,4293.924000,749,2
43689,288,3775.130100,762,9
43689,289,3499.176000,754,4
43692,297,6998.352000,754,8
43692,301,3499.176000,756,4
43692,303,6998.352000,758,8
43692,314,4293.924000,753,2
43693,327,6119.982000,771,3
43693,330,6074.982000,777,3
43694,333,6074.982000,776,3
43694,334,6119.982000,771,3
43694,341,4079.988000,773,2
43695,344,4079.988000,774,2
43695,348,10124.970000,777,5
43695,349,12149.964000,778,6
43695,351,10124.970000,775,5
43697,353,3578.270000,749,1
43698,354,3399.990000,773,1
43699,355,3399.990000,773,1
43701,357,3399.990000,773,1
43702,358,3578.270000,750,1
43703,359,3578.270000,749,1
43704,360,3374.990000,778,1
43705,361,3399.990000,771,1
43706,362,3578.270000,751,1
43707,363,3578.270000,751,1
43709,365,3578.270000,752,1
43710,366,3578.270000,753,1
43711,367,3578.270000,753,1
43712,368,3578.270000,750,1
43713,369,3578.270000,749,1
43714,370,3578.270000,750,1
43715,371,3578.270000,753,1
43716,372,3578.270000,750,1
43718,374,3578.270000,750,1
43719,375,3578.270000,751,1
43720,376,3578.270000,750,1
43721,377,3578.270000,749,1
43722,378,3578.270000,751,1
43724,380,3578.270000,750,1
43725,381,3578.270000,750,1
43727,383,3578.270000,750,1
43728,384,3578.270000,752,1
43729,385,3399.990000,773,1
43730,386,3399.990000,773,1
43731,387,3578.270000,753,1
43732,388,3374.990000,777,1
43733,389,3578.270000,751,1
43734,390,3578.270000,751,1
43735,391,3578.270000,749,1
43736,392,3399.990000,773,1
43737,393,3578.270000,750,1
43738,394,3578.270000,751,1
43739,395,3578.270000,749,1
43740,396,3578.270000,751,1
43741,397,3578.270000,749,1
43742,398,3578.270000,753,1
43743,399,3399.990000,774,1
43744,400,3578.270000,752,1
43745,401,3578.270000,750,1
43746,402,3578.270000,751,1
43747,403,3578.270000,753,1
43748,404,3578.270000,752,1
43749,405,3578.270000,753,1
43750,406,3578.270000,750,1
43751,407,3578.270000,752,1
43752,408,3578.270000,750,1
43753,409,3578.270000,749,1
43754,410,3578.270000,751,1
43755,411,3578.270000,750,1
43757,413,3374.990000,777,1
43758,414,3578.270000,749,1
43759,415,3578.270000,749,1
43760,416,3578.270000,753,1
43761,417,3578.270000,749,1
43762,418,3578.270000,753,1
43763,419,3578.270000,752,1
43764,420,3578.270000,749,1
43765,421,3399.990000,773,1
