SalesOrderID,SalesOrderDetailID,LineTotal,ProductID,OrderQty
43659,1,2024.994000,776,1
43659,3,2024.994000,778,1
43659,4,2039.994000,771,1
43659,5,2039.994000,772,1
43659,7,2039.994000,774,1
43661,17,1429.408600,747,2
43661,20,1445.189800,742,2
43661,24,1637.400000,741,2
43662,30,1258.376700,764,3
43662,31,2097.294500,770,5
43662,35,2097.294500,762,5
43662,36,1258.376700,765,3
43662,38,2146.962000,753,1
43662,40,1258.376700,763,3
43662,45,2146.962000,749,1
43662,46,1258.376700,760,3
43662,50,1258.376700,766,3
43664,53,2039.994000,772,1
43664,59,2039.994000,773,1
43664,60,2024.994000,778,1
43665,62,2039.994000,773,1
43665,68,2024.994000,778,1
43665,70,2024.994000,776,1
43666,72,2146.962000,753,1
43667,78,2039.994000,773,1
43667,79,2024.994000,778,1
43667,80,2024.994000,775,1
43668,81,2624.382000,756,3
43668,83,2936.212300,760,7
43668,84,2516.753400,765,6
43668,86,1103.629200,730,6
43668,89,1749.588000,754,2
43668,92,2624.382000,755,3
43668,93,1258.376700,761,3
43668,101,1427.592000,732,4
43668,103,1677.835600,762,4
43668,108,1070.694000,733,3
43668,109,1258.376700,763,3
43670,114,2024.994000,776,1
43671,115,2146.962000,753,1
43671,121,1749.588000,755,2
43672,128,2039.994000,774,1
43674,140,2624.382000,758,3
43675,141,1677.835600,761,4
43675,146,1749.588000,758,2
43677,156,2146.962000,753,1
43677,160,1677.835600,760,4
43678,171,1258.376700,762,3
43678,180,1749.588000,758,2
43680,189,1258.376700,760,3
43680,190,1749.588000,756,2
43680,201,1258.376700,765,3
43681,205,2097.294500,762,5
43681,210,1258.376700,770,3
43681,212,2624.382000,758,3
43681,216,2146.962000,753,1
43682,225,1749.588000,758,2
43683,233,2039.994000,774,1
43683,239,2039.994000,772,1
43684,243,1749.588000,754,2
43684,246,1749.588000,758,2
43685,249,1258.376700,765,3
43686,253,2624.382000,758,3
43688,260,1258.376700,762,3
43688,264,1749.588000,754,2
43688,265,1749.588000,758,2
43688,266,1258.376700,765,3
43689,269,1258.376700,764,3
43689,272,2146.962000,753,1
43689,273,1749.588000,755,2
43689,274,1677.835600,766,4
43689,276,2936.212300,760,7
43689,279,2516.753400,763,6
43689,283,2097.294500,765,5
43689,286,2624.382000,758,3
43692,295,2097.294500,770,5
43692,305,2516.753400,762,6
43692,306,1070.694000,732,3
43692,309,2936.212300,760,7
43692,310,1749.588000,755,2
43692,317,1258.376700,761,3
43693,324,2039.994000,773,1
43693,329,2039.994000,774,1
43693,331,2039.994000,772,1
43693,332,2024.994000,778,1
43694,336,2039.994000,772,1
43694,340,2039.994000,774,1
43695,345,1445.189800,748,2
43843,501,1445.189800,742,2
43843,503,1445.189800,748,2
43844,512,2024.994000,778,1
43848,530,2039.994000,773,1
43848,531,2024.994000,778,1
43848,532,2024.994000,775,1
43849,540,2039.994000,773,1
43849,542,2039.994000,772,1
43850,550,2146.962000,753,1
43850,553,2624.382000,758,3
43850,555,1070.694000,732,3
43851,560,1258.376700,770,3
43851,565,2146.962000,753,1
43852,569,2024.994000,776,1
43853,571,2039.994000,773,1
43853,572,2039.994000,771,1
43854,576,1749.588000,758,2
43855,579,2146.962000,753,1
43855,580,1677.835600,761,4
43855,582,1258.376700,762,3
43856,591,2024.994000,777,1
43857,595,2624.382000,758,3
43857,604,1749.588000,754,2
43858,608,2097.294500,770,5
43858,611,1258.376700,763,3
43858,612,1749.588000,754,2
43859,621,2624.382000,758,3
43860,625,1749.588000,758,2
43861,636,1258.376700,764,3
43861,637,2097.294500,770,5
43861,641,1677.835600,765,4
43861,642,2146.962000,753,1
43861,647,2624.382000,754,3
43861,648,1749.588000,756,2
43861,650,1677.835600,760,4
43861,651,1749.588000,755,2
43861,654,1749.588000,758,2
43862,666,1429.408600,747,2
43862,667,1445.189800,748,2
43864,677,1637.400000,741,2
43865,686,2146.962000,753,1
43865,687,1677.835600,760,4
43865,695,1258.376700,765,3
43865,696,1258.376700,761,3
43865,697,2624.382000,754,3
43866,698,2039.994000,771,1
43866,699,2024.994000,777,1
43867,702,2039.994000,774,1
43867,713,1429.408600,743,2
43867,715,2167.784700,742,3
43867,716,1637.400000,741,2
43868,719,2146.962000,749,1
43869,723,1619.520000,745,2
43869,727,2039.994000,774,1
43869,729,1445.189800,742,2
43870,730,1258.376700,760,3
43870,733,1258.376700,770,3
43871,743,2624.382000,754,3
43871,744,2146.962000,753,1
43871,747,1258.376700,770,3
43872,751,2624.382000,758,3
43872,752,1749.588000,756,2
43872,759,2146.962000,753,1
43872,760,1749.588000,754,2
43873,765,2516.753400,770,6
43873,772,1258.376700,766,3
43873,775,2097.294500,760,5
43873,776,1070.694000,733,3
43873,784,2516.753400,761,6
43873,785,2097.294500,763,5
43873,789,1677.835600,762,4
43873,792,2141.388000,732,6
43875,795,1429.408600,747,2
43875,808,1429.408600,743,2
43875,813,2167.784700,742,3
43876,817,1258.376700,763,3
43876,818,1749.588000,754,2
43877,829,2024.994000,778,1
43878,833,2039.994000,772,1
43878,834,2039.994000,771,1
43879,835,1258.376700,762,3
43879,837,1258.376700,760,3
43879,842,1677.835600,770,4
43879,844,1749.588000,754,2
43879,848,1258.376700,765,3
43879,852,2624.382000,758,3
43879,855,1749.588000,755,2
43879,859,2146.962000,753,1
43880,861,1258.376700,760,3
43880,862,1749.588000,755,2
43880,863,1258.376700,762,3
43880,864,1258.376700,770,3
43880,869,1749.588000,756,2
43880,871,1749.588000,758,2
43882,882,2024.994000,778,1
43883,893,2146.962000,749,1
43883,894,1258.376700,762,3
43883,895,2624.382000,758,3
43883,896,1749.588000,754,2
43884,900,2144.112900,747,3
43884,902,2429.280000,745,3
43884,907,2456.100000,741,3
43884,915,2144.112900,743,3
43886,924,1749.588000,754,2
43886,928,1749.588000,756,2
43886,932,1749.588000,758,2
43886,934,2097.294500,760,5
43886,942,1258.376700,762,3
43888,952,2146.962000,753,1
43888,953,1749.588000,756,2
43889,960,2024.994000,778,1
43890,966,2167.784700,742,3
43890,974,2429.280000,745,3
43891,977,2024.994000,778,1
43892,989,2097.294500,760,5
43892,992,1749.588000,754,2
43892,993,1258.376700,770,3
43892,994,1677.835600,761,4
43892,995,2624.382000,758,3
43895,1007,1445.189800,748,2
43896,1022,1258.376700,760,3
43896,1023,1677.835600,762,4
43897,1037,2039.994000,774,1
43898,1040,1258.376700,768,3
43898,1050,1258.376700,760,3
43898,1054,1070.694000,732,3
43898,1055,1749.588000,756,2
43898,1061,2936.212300,762,7
43898,1062,2097.294500,761,5
43898,1065,2516.753400,763,6
43898,1066,1258.376700,766,3
43899,1072,1749.588000,755,2
43899,1073,2146.962000,753,1
43899,1075,1749.588000,758,2
43899,1079,1749.588000,754,2
43900,1085,2024.994000,777,1
43901,1093,2024.994000,776,1
43904,1123,1677.835600,763,4
43905,1132,2097.294500,770,5
43905,1134,2146.962000,753,1
43905,1139,1749.588000,758,2
43906,1146,2024.994000,778,1
43906,1150,2039.994000,772,1
43906,1152,2039.994000,773,1
43907,1163,2146.962000,753,1
43907,1164,2097.294500,762,5
43907,1166,1677.835600,761,4
43907,1168,1258.376700,760,3
43907,1171,1677.835600,763,4
43907,1174,1258.376700,770,3
43908,1180,2146.962000,749,1
43909,1184,2144.112900,743,3
43909,1188,1429.408600,747,2
43910,1192,1677.835600,760,4
43910,1199,1258.376700,770,3
43910,1202,2097.294500,761,5
43910,1206,1749.588000,754,2
43911,1207,2936.212300,760,7
43911,1208,2624.382000,758,3
43911,1210,2624.382000,754,3
43911,1213,1677.835600,762,4
43911,1215,1258.376700,763,3
43911,1216,1258.376700,761,3
43912,1223,1427.592000,732,4
43912,1227,2097.294500,761,5
43912,1234,2146.962000,753,1
43912,1237,2624.382000,754,3
43913,1241,2039.994000,772,1
43914,1250,2024.994000,778,1
43914,1252,2039.994000,773,1
43914,1253,2024.994000,776,1
43914,1254,2039.994000,771,1
43916,1267,1637.400000,741,2
43917,1270,1258.376700,765,3
43917,1271,1258.376700,763,3
43917,1279,1258.376700,762,3
44075,1443,2039.994000,773,1
44075,1445,2024.994000,777,1
44075,1451,2024.994000,776,1
44076,1452,2039.994000,771,1
44076,1453,2039.994000,772,1
44077,1459,2624.382000,754,3
44078,1463,1429.408600,743,2
44079,1470,1749.588000,754,2
44079,1471,1749.588000,756,2
44079,1476,2624.382000,755,3
44079,1477,1677.835600,763,4
44079,1479,1677.835600,761,4
44079,1485,1677.835600,765,4
44079,1489,2097.294500,762,5
44079,1493,2097.294500,760,5
44081,1506,1637.400000,741,2
44081,1512,1619.520000,745,2
44082,1514,2039.994000,772,1
44085,1522,2624.382000,754,3
44085,1530,1258.376700,763,3
44085,1534,1258.376700,760,3
44085,1541,1749.588000,755,2
44086,1554,2167.784700,748,3
44086,1558,2858.817200,747,4
44086,1561,2429.280000,745,3
44086,1562,2167.784700,742,3
44090,1572,1749.588000,758,2
44090,1580,1749.588000,754,2
44090,1581,1677.835600,762,4
44091,1585,1749.588000,756,2
44091,1586,1749.588000,755,2
44093,1597,1749.588000,754,2
44093,1608,1258.376700,770,3
44093,1611,1749.588000,758,2
44095,1625,1445.189800,742,2
44097,1636,1749.588000,758,2
44098,1641,2024.994000,775,1
44098,1642,2039.994000,772,1
44098,1643,2039.994000,771,1
44099,1647,1749.588000,755,2
44100,1654,1445.189800,748,2
44100,1655,1429.408600,747,2
44100,1658,1429.408600,743,2
44100,1662,2039.994000,773,1
44100,1667,2456.100000,741,3
44102,1677,1749.588000,758,2
44103,1682,1677.835600,770,4
44103,1683,1258.376700,762,3
44104,1687,2039.994000,773,1
44104,1688,2039.994000,772,1
44105,1689,2039.994000,773,1
44105,1691,2024.994000,775,1
44105,1692,2024.994000,777,1
44107,1694,1258.376700,770,3
44107,1697,1677.835600,763,4
44107,1698,2097.294500,760,5
44107,1701,1749.588000,758,2
44107,1702,2624.382000,754,3
44107,1703,2146.962000,749,1
44108,1716,1749.588000,758,2
44109,1720,1677.835600,770,4
44109,1725,1749.588000,754,2
44109,1728,1749.588000,758,2
44110,1736,1258.376700,760,3
44110,1738,2097.294500,762,5
44110,1744,1258.376700,763,3
44111,1758,1749.588000,755,2
44111,1763,1258.376700,761,3
44111,1771,2624.382000,758,3
44112,1773,2039.994000,771,1
44112,1774,2039.994000,774,1
44112,1777,2039.994000,772,1
44113,1786,1429.408600,747,2
44114,1794,1258.376700,760,3
44114,1797,2516.753400,762,6
44114,1800,2936.212300,770,7
44114,1806,1677.835600,768,4
44114,1810,1258.376700,766,3
44114,1811,1677.835600,761,4
44114,1813,2624.382000,754,3
44114,1814,2146.962000,749,1
44115,1826,2167.784700,742,3
44115,1829,1637.400000,741,2
44115,1832,1619.520000,745,2
44116,1836,2039.994000,771,1
44116,1838,2024.994000,778,1
44117,1841,1749.588000,754,2
44117,1843,1749.588000,756,2
44117,1844,2146.962000,753,1
44117,1845,1749.588000,755,2
44118,1857,1258.376700,761,3
44118,1858,1749.588000,758,2
44120,1879,2144.112900,747,3
44121,1888,2456.100000,741,3
44121,1891,1619.520000,745,2
44121,1892,1429.408600,743,2
44122,1899,2024.994000,777,1
44122,1900,2039.994000,771,1
44124,1902,1677.835600,763,4
44124,1905,2624.382000,758,3
44124,1908,2146.962000,753,1
44124,1912,2097.294500,760,5
44124,1914,1749.588000,756,2
44125,1924,1749.588000,758,2
44126,1926,2024.994000,776,1
44126,1928,2039.994000,771,1
44126,1932,2039.994000,773,1
44127,1936,1429.408600,747,2
44127,1951,1619.520000,745,2
44127,1954,2144.112900,743,3
44128,1956,2039.994000,774,1
44128,1957,2039.994000,773,1
44128,1958,2039.994000,771,1
44128,1962,2024.994000,778,1
44129,1966,2097.294500,765,5
44129,1971,2936.212300,761,7
44129,1976,2097.294500,763,5
44129,1985,1258.376700,760,3
44129,1988,1258.376700,770,3
44129,1989,2624.382000,756,3
44129,1992,1427.592000,733,4
44130,2004,1429.408600,743,2
44131,2009,2039.994000,773,1
44131,2013,2039.994000,772,1
44131,2014,2024.994000,777,1
44133,2017,1258.376700,766,3
44133,2020,1749.588000,754,2
44133,2024,2097.294500,770,5
44133,2028,1258.376700,762,3
44133,2030,1258.376700,760,3
44282,2184,1445.189800,739,2
44282,2191,1445.189800,742,2
44283,2197,1749.588000,756,2
44283,2199,1749.588000,755,2
44283,2201,2097.294500,762,5
44283,2210,2146.962000,749,1
44283,2215,2516.753400,765,6
44283,2216,1516.151800,717,2
44285,2243,2456.100000,741,3
44285,2250,1429.408600,743,2
44285,2251,2890.379600,748,4
44286,2253,2146.962000,753,1
44287,2260,2024.994000,776,1
44288,2263,1677.835600,761,4
44288,2267,1749.588000,758,2
44288,2268,2516.753400,760,6
44288,2274,1070.694000,733,3
44288,2275,1677.835600,766,4
44288,2276,2624.382000,756,3
44288,2279,2097.294500,765,5
44288,2280,2624.382000,754,3
44288,2281,1258.376700,770,3
44288,2282,1677.835600,768,4
44288,2288,2274.227700,718,3
44288,2289,1677.835600,763,4
44288,2290,2624.382000,755,3
44288,2292,2516.753400,762,6
44288,2295,2146.962000,753,1
44289,2297,2024.994000,775,1
44289,2298,2039.994000,771,1
44290,2300,1749.588000,758,2
44290,2303,1258.376700,762,3
44291,2304,2890.379600,739,4
44291,2305,1619.520000,744,2
44292,2307,1258.376700,770,3
44292,2309,1749.588000,758,2
44293,2322,2146.962000,751,1
44293,2326,1677.835600,767,4
44294,2344,1637.400000,741,2
44295,2347,1258.376700,765,3
44295,2348,1258.376700,762,3
44295,2349,1258.376700,760,3
44295,2352,1749.588000,758,2
44295,2353,2624.382000,754,3
44296,2356,1677.835600,770,4
44296,2366,1749.588000,755,2
44296,2368,2146.962000,752,1
44297,2381,2024.994000,778,1
44297,2382,2039.994000,774,1
44297,2383,2039.994000,773,1
44297,2384,2024.994000,776,1
44297,2388,2039.994000,772,1
44298,2396,2146.962000,751,1
44298,2397,1749.588000,754,2
44298,2407,1677.835600,769,4
44298,2409,2624.382000,755,3
44299,2430,1749.588000,757,2
44299,2442,2624.382000,758,3
44301,2456,1070.694000,732,3
44301,2457,2624.382000,757,3
44301,2461,2146.962000,752,1
44301,2465,2146.962000,753,1
44301,2472,1749.588000,756,2
44301,2473,2146.962000,749,1
44302,2480,2146.962000,752,1
44305,2495,1429.408600,743,2
44306,2507,1258.376700,762,3
